timestamp,cause,delay,line,message
2015-09-02 08:07:00,expressed,0,blue,A Largo Town Center-bound Blue Line train at Morgan Boulevard was expressed for schedule adherence/improved train spacing.
2015-09-02 08:21:00,misc,30,silver,"Forest Glen: Due to all elevators out of service, the station was temporarily closed. Shuttle buses were provided between Wheaton & Silver Spring. Passengers experienced delays up to 30 minutes until approximately 9:00 a.m."
2015-09-02 08:30:00,door problem,5,orange,A New Carrollton-bound Orange Line train at Dunn Loring was offloaded due to a door problem. Passengers experienced a 5-minute delay.
2015-09-02 08:46:00,expressed,0,silver,A Largo Town Center-bound Silver Line train at Foggy Bottom was rerouted to New Carrollton for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-09-02 09:16:00,brake problem,6,red,A Shady Grove-bound Red Line train at Union Station was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-09-02 09:23:00,brake problem,9,orange,A Vienna-bound Orange Line train at Cheverly was offloaded due to a brake problem. Passengers experienced a 9-minute delay.
2015-09-02 09:32:00,misc,7,orange,A New Carrollton-bound Orange Line train at Foggy Bottom was delayed 7 minutes due to police activity.
2015-09-02 11:31:00,brake problem,6,green,A Branch Avenue-bound Green Line train at Archives was delayed 6 minutes due to a brake problem.
2015-09-02 12:31:00,brake problem,17,green,A Branch Avenue-bound Green Line train at U Street was offloaded due to a brake problem. Passengers experienced a 17-minute delay.
2015-09-02 14:05:00,brake problem,6,orange,A New Carrollton-bound Orange Line train at Virginia Square was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-09-02 15:19:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 15:31:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 15:41:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-02 15:43:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 15:52:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-02 15:55:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 16:00:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-09-02 16:04:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-02 16:16:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-02 16:18:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-02 17:55:00,brake problem,4,red,A Shady Grove-bound Red Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 4-minute delay.
2015-09-02 18:22:00,expressed,0,red,A Shady Grove-bound Red Line train at NoMa-Gallaudet was offloaded due to an operational problem. Several trains were single tracked around the incident train and several trains were offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced a 15-minute delay.
2015-09-02 21:13:00,did not operate,6,yellow,"A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service."
2015-09-01 06:25:00,expressed,0,silver,A Wiehle-Reston East-bound Silver Line train at Morgan Boulevard rerouted to Franconia-Springfield for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-09-01 06:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-01 06:57:00,brake problem,18,yellow,A Franconia-Springfield-bound Yellow Line train at Pentagon was offloaded due to a brake problem. Passengers experienced an 18-minute delay.
2015-09-01 06:58:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:03:00,did not operate,6,red,"A Shady Grove-bound Red Line train at Grosvenor did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:04:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:10:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:16:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:26:00,expressed,0,blue,A Franconia-Springfield-bound Blue Line train at Pentagon City was offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-09-01 07:29:00,expressed,0,blue,A Franconia-Springfield-bound Blue Line train at Ronald Reagan Washington National Airport was offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-09-01 07:37:00,equipment problem,5,red,A Glenmont-bound Red Line train at Shady Grove was delayed 5 minutes due to an equipment problem.
2015-09-01 07:37:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-01 07:46:00,did not operate,6,yellow,"A Huntington-bound Yellow Line train at Mt. Vernon Square did not operate, resulting in a 6-minute gap in service."
2015-09-01 08:05:00,brake problem,5,red,A Glenmont-bound Red Line train at Medical Center was offloaded due to a brake problem. Passengers experienced a 5-minute delay.
2015-09-01 09:02:00,misc,6,silver,A Largo Town Center-bound Silver Line train at L'Enfant Plaza was offloaded due to police activity. Passengers experienced a 6-minute delay.
2015-09-01 09:04:00,misc,6,silver,A Largo Town Center-bound Silver Line train at Smithsonian was offloaded and turned back due to police activity. Passengers experienced a 6-minute delay.
2015-09-01 14:09:00,door problem,5,green,A Greenbelt-bound Green Line train at Fort Totten was delayed 5 minutes due to a door problem.
2015-09-01 14:17:00,equipment problem,7,red,A Shady Grove-bound Red Line train at Rhode Island Avenue was offloaded due to an equipment problem. Passengers experienced a 7-minute delay.
2015-09-01 15:07:00,equipment problem,6,green,A Greenbelt-bound Green Line train at L'Enfant Plaza was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.
2015-09-01 15:29:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-01 15:41:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-01 15:49:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-09-01 15:52:00,did not operate,6,yellow,"A Huntington-bound Yellow Line train at Mt. Vernon Square did not operate, resulting in a 6-minute gap in service."
2015-09-01 16:04:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-01 16:05:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-09-01 16:07:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-09-01 16:26:00,track problem,14,yellow,A Franconia-Springfield-bound Yellow Line train at Pentagon City was offloaded due to police activity. Several trains were single tracked around the incident train. Passengers experienced a 14-minute delay.
2015-09-01 17:00:00,did not operate,12,blue,"A Largo Town Center-bound Blue Line train at Franconia-Springfield did not operate, resulting in a 12-minute gap in service."
2015-09-01 17:45:00,signal problem,6,yellow,A Huntington-bound Yellow Line train at Mt. Vernon Square was delayed 6 minutes due to a signal problem.
2015-09-01 17:45:00,signal problem,6,green,A Greenbelt-bound Green Line train at Mt. Vernon Square was delayed 6 minutes due to a signal problem.
2015-09-01 17:54:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Landover was expressed for schedule adherence/improved train spacing.
2015-09-01 18:20:00,misc,30,silver,"Forest Glen: Due to elevator outage, the station was temporarily closed. Shuttle buses were provided between Wheaton & Silver Spring. Passengers experienced delays up to 30 minutes until approximately 7:45 p.m."
2015-09-01 18:30:00,expressed,0,green,A Branch Avenue-bound Green Line train at Columbia Heights was expressed for schedule adherence/improved train spacing.
2015-08-31 05:29:00,signal problem,12,red,A Glenmont-bound Red Line train at Fort Totten was delayed 12 minutes due to a signal problem.
2015-08-31 06:13:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-08-31 06:24:00,brake problem,16,silver,A Largo Town Center-bound Silver Line train at Spring Hill was offloaded due to a brake problem. Passengers experienced a 16-minute delay.
2015-08-31 06:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-31 06:46:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-31 06:58:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-31 07:04:00,expressed,0,yellow,A Huntington-bound Yellow Line train at Pentagon City was expressed for schedule adherence/improved train spacing.
2015-08-31 07:10:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-31 07:11:00,did not operate,6,yellow,"A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service."
2015-08-31 07:49:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-31 08:06:00,signal problem,6,orange,A Vienna-bound Orange Line train at Metro Center was delayed 6 minutes due to a signal problem.
2015-08-31 08:38:00,equipment problem,6,silver,A Largo Town Center-bound Silver Line train at Stadium-Armory was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.
2015-08-31 12:30:00,door problem,12,blue,A Largo Town Center-bound Blue Line train at King Street was offloaded due to a door problem. Passengers experienced a 12-minute delay.
2015-08-31 15:11:00,brake problem,6,red,A Shady Grove-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-08-31 15:41:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-31 15:49:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-08-31 15:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-31 16:04:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-31 16:05:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-31 16:09:00,expressed,0,red,A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.
2015-08-31 16:52:00,door problem,7,orange,A New Carrollton-bound Orange Line train at Ballston was offloaded due to a door problem. Passengers experienced a 7-minute delay.
2015-08-31 17:03:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-31 17:05:00,expressed,0,red,A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.
2015-08-31 17:52:00,brake problem,8,orange,A New Carrollton-bound Orange Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced an 8-minute delay.
2015-08-31 18:04:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-31 18:05:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-31 20:06:00,brake problem,4,red,A Shady Grove-bound Red Line train at Grosvenor was offloaded due to a brake problem. Passengers experienced a 4-minute delay.
2015-08-30 02:25:00,expressed,0,yellow,A Huntington-bound Yellow Line train at Ronald Reagan Washington National Airport was offloaded due to an operational problem. Several trains were single tracked around the incident train and several trains were offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced a 36-minute delay.
2015-08-30 09:34:00,brake problem,9,orange,A New Carrollton-bound Orange Line train at Dunn Loring was offloaded due to a brake problem. Passengers experienced a 9-minute delay.
2015-08-30 09:44:00,misc,5,red,A Shady Grove-bound Red Line train at Gallery Place was delayed 5 minutes due to police activity.
2015-08-30 10:09:00,brake problem,18,blue,A Franconia-Springfield-bound Blue Line train at Ronald Reagan Washington National Airport was offloaded due to a brake problem. Passengers experienced an 18-minute delay.
2015-08-30 11:28:00,brake problem,9,orange,A New Carrollton-bound Orange Line train at Rosslyn was offloaded due to a brake problem. Passengers experienced a 9-minute delay.
2015-08-30 11:37:00,expressed,0,silver,A Largo Town Center-bound Silver Line train at Rosslyn was rerouted to New Carrollton for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-08-30 13:34:00,equipment problem,9,orange,A Vienna-bound Orange Line train at Stadium-Armory was offloaded due to an equipment problem. Passengers experienced a 9-minute delay.
2015-08-30 15:26:00,equipment problem,15,green,A Branch Avenue-bound Green Line train at Columbia Heights was offloaded due to an equipment problem. Passengers experienced a 15-minute delay.
2015-08-30 16:55:00,signal problem,5,red,A Glenmont-bound Red Line train at Union Station was delayed 5 minutes due to a signal problem.
2015-08-30 18:11:00,misc,6,red,A Glenmont-bound Red Line train at Gallery Place was delayed 6 minutes due to a medical emergency.
2015-08-29 02:38:00,equipment problem,20,blue,A Franconia-Springfield-bound Blue Line train at Braddock Road was offloaded due to an equipment problem. Passengers experienced a 20-minute delay.
2015-08-29 07:00:00,track problem,17,orange,A Vienna-bound Orange Line train at New Carrollton was delayed 17 minutes due to late clearing track work.
2015-08-29 12:45:00,track problem,11,blue,A Franconia-Springfield-bound Blue Line train at McPherson Square was delayed 11 minutes due to a track problem.
2015-08-29 16:24:00,brake problem,12,green,A Greenbelt-bound Green Line train at West Hyattsville was offloaded due to a brake problem. Passengers experienced a 12-minute delay.
2015-08-29 16:30:00,door problem,12,green,A Greenbelt-bound Green Line train at Anacostia was offloaded due to a door problem. Passengers experienced a 12-minute delay.
2015-08-28 05:55:00,track problem,12,orange,A New Carrollton-bound Orange Line train at Rosslyn was offloaded due to a track problem. Passengers experienced a 12-minute delay.
2015-08-28 06:35:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-28 06:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-28 06:58:00,brake problem,9,blue,A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 9 minutes due to a brake problem.
2015-08-28 07:03:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-28 07:18:00,operational problem,6,blue,A Largo Town Center-bound Blue Line train at Ronald Reagan Washington National Airport was delayed 6 minutes due to an operational problem.
2015-08-28 07:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-28 07:57:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-08-28 08:21:00,brake problem,6,red,A Shady Grove-bound Red Line train at Brookland was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-08-28 08:42:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Ballston was offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.
2015-08-28 08:45:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-28 13:58:00,misc,4,green,A Branch Avenue-bound Green Line train at Georgia Avenue-Petworth was delayed 4 minutes due to an unattended package.
2015-08-28 15:24:00,operational problem,6,blue,A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 6 minutes due to an operational problem.
2015-08-28 15:24:00,brake problem,6,silver,A Largo Town Center-bound Silver Line train at Spring Hill was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-08-28 15:47:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-28 15:59:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-28 16:16:00,did not operate,6,silver,"A Largo Town Center-bound Silver Line train at Wiehle-Reston East did not operate, resulting in a 6-minute gap in service."
2015-08-28 16:23:00,expressed,0,green,A Branch Avenue-bound Green Line train at Suitland was expressed for schedule adherence/improved train spacing.
2015-08-28 16:40:00,expressed,0,green,A Branch Avenue-bound Green Line train at Naylor Road was expressed for schedule adherence/improved train spacing.
2015-08-28 16:42:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-28 17:15:00,brake problem,3,red,A Glenmont-bound Red Line train at Van Ness was offloaded due to a brake problem. Passengers experienced a 3-minute delay.
2015-08-28 17:37:00,track problem,5,red,A Shady Grove-bound Red Line train at Brookland was offloaded due to a medical emergency. Several trains were single tracked around the incident train. Passengers experienced a 5-minute delay.
2015-08-28 17:39:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-28 18:01:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-08-28 18:04:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Deanwood was expressed for schedule adherence/improved train spacing.
2015-08-28 18:09:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Landover was expressed for schedule adherence/improved train spacing.
2015-08-28 19:19:00,operational problem,8,green,A Branch Avenue-bound Green Line train at Greenbelt was delayed 8 minutes due to an operational problem.
2015-08-27 06:16:00,did not operate,8,blue,"A Largo Town Center-bound Blue Line train at King Street did not operate, resulting in an 8-minute gap in service."
2015-08-27 06:33:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-27 06:45:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-27 06:57:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-27 07:10:00,did not operate,6,yellow,"A Huntington-bound Yellow Line train at Mt. Vernon Square did not operate, resulting in a 6-minute gap in service."
2015-08-27 07:19:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-27 07:25:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-08-27 07:49:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-27 07:57:00,did not operate,6,green,"A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service."
2015-08-27 08:53:00,brake problem,7,red,A Silver Spring-bound Red Line train at Union Station was offloaded due to a brake problem. Passengers experienced a 7-minute delay.
2015-08-27 09:17:00,door problem,8,green,A Greenbelt-bound Green Line train at Anacostia was offloaded due to a door problem. Passengers experienced an 8-minute delay.
2015-08-27 09:20:00,door problem,8,red,A Glenmont-bound Red Line train at Medical Center was offloaded due to a door problem. Passengers experienced an 8-minute delay.
2015-08-27 11:49:00,equipment problem,12,blue,A Franconia-Springfield-bound Blue Line train at Largo Town Center was offloaded due to an equipment problem. Passengers experienced a 12-minute delay.
2015-08-27 15:19:00,misc,6,green,A Branch Avenue-bound Green Line train at Archives was delayed 6 minutes due to a medical emergency.
2015-08-27 15:23:00,expressed,0,red,A Shady Grove-bound Red Line train at Bethesda was expressed for schedule adherence/improved train spacing.
2015-08-27 15:27:00,brake problem,4,red,A Glenmont-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Passengers experienced a 4-minute delay.
2015-08-27 15:33:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-27 15:40:00,equipment problem,4,red,A Glenmont-bound Red Line train at Twinbrook was offloaded due to an equipment problem. Passengers experienced a 4-minute delay.
2015-08-27 15:41:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-27 15:45:00,misc,4,blue,A Largo Town Center-bound Blue Line train at Arlington Cemetery was delayed 4 minutes due to an unattended package.
2015-08-27 15:51:00,did not operate,6,green,"A Branch Avenue-bound Green Line train at Greenbelt did not operate, resulting in a 6-minute gap in service."
2015-08-27 15:53:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-27 15:55:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-08-27 15:57:00,brake problem,6,red,A Glenmont-bound Red Line train at Friendship Heights was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-08-27 15:59:00,misc,4,red,A Silver Spring-bound Red Line train at Gallery Place was delayed 4 minutes due to a medical emergency.
2015-08-27 16:01:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-08-27 16:05:00,did not operate,6,orange,"A New Carrollton-bound Orange Line train at Vienna did not operate, resulting in a 6-minute gap in service."
2015-08-27 16:10:00,did not operate,6,silver,"A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service."
2015-08-27 16:20:00,expressed,0,red,A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.
2015-08-27 16:38:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Court House was expressed for schedule adherence/improved train spacing.
2015-08-27 16:52:00,expressed,0,red,A Shady Grove-bound Red Line train at Tenleytown was expressed for schedule adherence/improved train spacing.
2015-08-27 16:58:00,expressed,0,red,A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.
2015-08-27 17:06:00,expressed,0,orange,A New Carrollton-bound Orange Line train at Cheverly was expressed for schedule adherence/improved train spacing.
2015-08-27 17:08:00,did not operate,6,orange,"A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service."
2015-08-27 17:50:00,expressed,0,silver,A Largo Town Center-bound Silver Line train at Virginia Square was expressed for schedule adherence/improved train spacing.
2015-08-27 17:56:00,brake problem,6,silver,A Wiehle-Reston East-bound Silver Line train at Greensboro was offloaded due to a brake problem. Passengers experienced a 6-minute delay.
2015-08-27 17:59:00,equipment problem,12,green,A Branch Avenue-bound Green Line train at College Park was offloaded due to an equipment problem. Passengers experienced a 12-minute delay.
